"SD","evenness","nestedness","generality","connectance"
1,0.940431644514505,26.172721635703,47.3123120267418,0.162875
1,0.950204623354997,26.9065636925519,55.2518405993285,0.168125
1,0.959026776297679,28.4844755242805,51.7190145495807,0.180125
1,0.945529243233768,25.1001774112785,54.9669051448006,0.169725
1,0.943259221125961,26.2537977858402,47.6108748840491,0.16445
1,0.942562340234797,25.3453839456496,46.4995231304615,0.1631
1,0.949557250476275,28.3038187674504,47.2981316286333,0.170175
1,0.945965182356726,27.0220669995325,59.1712117191092,0.16895
1,0.932560142019881,25.4081309930602,55.9172365774769,0.15985
1,0.948843574730756,27.6001914614191,56.5994524596359,0.1727
1,0.94141581121065,25.7146966918481,41.7170186185118,0.16305
1,0.947992972143556,24.3194609551948,52.3211552742094,0.170925
1,0.933989532486315,25.1265000307626,53.092317612363,0.158375
1,0.942062106915746,24.3959273785005,51.5217262464983,0.16045
1,0.940270788294508,25.966841695112,47.2729795312293,0.163225
1,0.940639690491197,25.8185173489798,53.8160888513195,0.167075
1,0.950274888108344,28.0153101337805,44.4889145932682,0.17025
1,0.938739556322031,24.2113089458528,52.1091357327927,0.163875
1,0.941205874112982,25.1609835949148,57.1986440703131,0.16635
1,0.938901586335455,25.6017069785566,43.3577826955795,0.162175
1.1,0.917217467859654,20.9559902615422,37.2973123094517,0.144
1.1,0.937764899401296,22.922335951758,49.9103680697742,0.15845
1.1,0.931272790118271,22.7900009640225,44.2391945156862,0.15675
1.1,0.920614784762965,18.9231763121836,46.5943328103675,0.14775
1.1,0.929677801020129,20.9117690169717,56.4347755851143,0.153325
1.1,0.935153198507602,21.728950254364,46.8156607580384,0.15625
1.1,0.940713450279761,23.1302807637245,50.4505192420694,0.1611
1.1,0.927987670987301,23.4582783893191,49.9801183522015,0.154175
1.1,0.923187312805862,21.7576598140682,48.4187869172034,0.14785
1.1,0.920247037042232,23.6182861969317,36.6240897618109,0.14995
1.1,0.935819429325225,22.6500017498086,43.0774459220472,0.154775
1.1,0.91151411318954,19.6703968292613,52.9422309296617,0.1409
1.1,0.933167062112518,20.5948709626973,54.073964076768,0.1518
1.1,0.93967823252318,24.1983360485128,45.0471138177722,0.16405
1.1,0.935750179586608,22.9032561904612,53.7324597012603,0.156775
1.1,0.941914263006261,24.0316355363118,51.4863746811328,0.163125
1.1,0.931388885202754,22.2610545121211,57.2531358002534,0.157775
1.1,0.906765936577764,19.3142599413001,35.685697680338,0.13635
1.1,0.940884262165203,22.9952615152926,54.1566107928486,0.159525
1.1,0.940780041440639,22.0545376846891,50.624513173215,0.161
1.2,0.917360354942696,19.7310315037171,42.7358807875374,0.144025
1.2,0.885511371756783,18.6468423214763,51.6778293968696,0.126625
1.2,0.937680798690007,21.1039588490596,51.9183508671986,0.158025
1.2,0.928927306133893,20.6251453386754,47.5007514349653,0.14955
1.2,0.879938085242059,19.1911604242264,40.8646550230409,0.125075
1.2,0.905503705223686,18.9612268701903,38.3619830377511,0.13465
1.2,0.908652346296954,19.4493311576154,56.4869750894582,0.136675
1.2,0.930671283414542,20.9746325596983,55.0341273513698,0.153375
1.2,0.93155756772546,21.2626434434687,46.3619376685025,0.15125
1.2,0.934833356083837,20.5759584581303,51.7637788797674,0.1521
1.2,0.915268459931326,18.0737083424349,54.1926703199227,0.136775
1.2,0.940329571931739,21.054078363553,51.7675867835714,0.15735
1.2,0.92099825218996,19.7839787061776,41.2100112106403,0.14455
1.2,0.921860246229023,19.727753123322,59.2673158841661,0.146975
1.2,0.931654662240949,21.3803068290782,56.9363343080144,0.152175
1.2,0.910192878538166,19.3034872746902,45.5684959114474,0.1383
1.2,0.934353764457471,19.4552624623519,52.8345156140683,0.15505
1.2,0.925396113332511,20.5732409123531,51.2939024446409,0.154
1.2,0.924571154380679,17.1094526863964,47.8303359605155,0.145
1.2,0.935239996844262,20.6742358051107,50.8247598753644,0.157375
1.3,0.900059628164891,17.9379266868091,52.5313418294965,0.1335
1.3,0.87994731155789,17.4507059719472,44.4081270211109,0.119675
1.3,0.876396577788396,18.2410840495374,48.6694750231311,0.1187
